Number,Title,Year,Duration,Age Rating,Rating,Votes,Metascore,Description,Watched,Skipped,Series,Poster URL
1,Skazani na Shawshank,1994,2h 22m,16,9.3,3M,82,"A banker forms a friendship in prison, maintaining his innocence and hope.",FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
2,Ojciec chrzestny,1972,2h 55m,15,9.2,2M,100,"Don Vito Corleone hands his empire to his youngest son, Michael.",FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
3,Mroczny Rycerz,2008,2h 32m,12,9,2.9M,84,Batman and allies face Joker's chaos in Gotham.,TRUE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
4,Lista Schindlera,1993,3h 15m,16,9,1.5M,95,Oskar Schindler's transformation during WWII in occupied Poland.,FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
5,Władca Pierścieni: Powrót króla,2003,3h 21m,12,9,2M,94,Men battle Sauron to help Frodo and Sam destroy the One Ring.,FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
6,Dwunastu gniewnych ludzi,1957,1h 36m,12,9,880K,97,A lone juror forces others to reevaluate evidence during a murder trial.,FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg
7,Ojciec chrzestny II,1974,3h 22m,15,9,1.4M,90,Continuation of Corleone family's saga.,FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
8,Pulp Fiction,1994,2h 34m,15,8.9,2.3M,95,Intertwining tales of mobsters and redemption.,FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg
9,Władca Pierścieni: Drużyna Pierścienia,2001,2h 58m,12,8.9,2M,92,A Hobbit and companions journey to save Middle-earth by destroying the One Ring.,FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
10,12th Fail,2023,2h 27m,-,8.9,126K,-,Real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,FALSE,FALSE,FALSE,https://image.tmdb.org/t/p/w500/eebUPRI4Z5e1Z7Hev4JZAwMIFkX.jpg
